sub_region,season_group,area_planted_ha,area_harvested_ha,production_mt,yield_over_harvested,yield_over_planted,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct,harvest_loss_ratio,year,daily_year,daily_season_total_mm,daily_longest_dry_spell_days,daily_dry_spell_count_7d,daily_dry_spell_count_10d,daily_rain_days_1mm,daily_rain_days_10mm,daily_rain_days_20mm,daily_mean_wet_day_rainfall,daily_maximum_5day_rainfall,daily_season_onset_day,daily_season_cessation_day,daily_season_length_days,daily_false_onset_flag,temp_year,temp_season_gdd,temp_heat_days,temp_extreme_heat_days,temp_warm_night_days,temp_heatwave_count,rain_MAM,rain_SON,rain_DJF,rain_JJA,rain_annual_rainfall,rain_rain_cv,rain_max_monthly,rain_min_monthly,rain_rainy_months,rain_rainfall_anomaly,rain_rainfall_zscore,rain_MAM_anomaly,rain_MAM_zscore,rain_SON_anomaly,rain_SON_zscore,soil_lat,soil_lon,soil_clay,soil_sand,soil_silt,soil_soc,soil_bdod,soil_cec,soil_phh2o,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
Acholi,first_season_2020,22327.76975470912,16428.789733803573,14080.89016425452,0.8570862730857126,0.6306447226456525,21.786650903736906,19.298945705759856,24.43402835114369,0.2641992498897656,2020,2020.0,572.7000713534653,9.625,1.0,0.5,70.125,17.875,1.875,8.171791002696578,57.323903918266296,66.375,91.5,26.125,0.0,2020.0,1725.021875,32.125,4.25,36.625,4.25,429.8889408111572,490.36515522003174,69.14666032791138,518.1679534912109,1507.5687098503113,0.5593996689194904,228.08902740478516,16.66800856590271,9.0,185.7858531475067,1.6576316046658746,46.66194772720337,0.7774568923056622,104.91718101501465,1.6678938868094362,2.948992569163029,32.58856664393185,34.73285714285714,40.167857142857144,24.98690476190476,23.930555555555557,1.3078666666666667,21.364285714285717,6.2,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Acholi,second_season_2020,14288.101607569732,10137.338452973165,8912.209618302692,0.879146894389113,0.6237504367676856,30.90510484445952,35.202092009781225,34.55364940435578,0.2905048738173532,2020,2020.0,689.2091083079576,7.25,0.75,0.0,73.75,24.375,4.625,9.378765549747122,71.7936801314354,215.25,326.25,112.0,0.0,2020.0,1576.105,1.25,0.0,3.5,0.0,429.8889408111572,490.36515522003174,69.14666032791138,518.1679534912109,1507.5687098503113,0.5593996689194904,228.08902740478516,16.66800856590271,9.0,185.7858531475067,1.6576316046658746,46.66194772720337,0.7774568923056622,104.91718101501465,1.6678938868094362,2.948992569163029,32.58856664393185,34.73285714285714,40.167857142857144,24.98690476190476,23.930555555555557,1.3078666666666667,21.364285714285717,6.2,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Acholi,total_2020,36615.87136227885,26566.128186776736,22993.09978255721,0.8655043603230825,0.6279544614700711,18.029829421952392,18.07677275545965,22.42154931450594,0.274464127210563,2020,2020.0,1261.909179661423,9.75,1.75,0.5,143.875,42.25,6.5,8.578404892374339,71.7936801314354,66.375,326.25,260.875,0.0,2020.0,3301.126875,33.375,4.25,40.125,4.25,429.8889408111572,490.36515522003174,69.14666032791138,518.1679534912109,1507.5687098503113,0.5593996689194904,228.08902740478516,16.66800856590271,9.0,185.7858531475067,1.6576316046658746,46.66194772720337,0.7774568923056622,104.91718101501465,1.6678938868094362,2.948992569163029,32.58856664393185,34.73285714285714,40.167857142857144,24.98690476190476,23.930555555555557,1.3078666666666667,21.364285714285717,6.2,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Ankole,first_season_2020,54452.04004389917,48291.76099210168,34321.14573905851,0.7107039593083359,0.6303004572719195,8.460903534537016,8.243617313528219,9.564089570366017,0.1131321993965898,2020,2020.0,349.7021957648918,13.5,3.6,1.1,43.6,10.6,3.3,8.008444253579558,73.6520622253418,79.7,170.1,91.4,0.0,2020.0,1337.8425,0.0,0.0,0.0,0.0,310.6848606109619,444.8346336364746,271.2373676300049,111.68549699783325,1138.4423588752747,0.6943823472467304,239.6933395385742,12.007702255249024,8.7,83.51945714950561,0.8827483995985753,-3.015725326538086,0.03590513226277618,55.38612518310547,0.9817632327328776,-0.48578801850042497,30.393043827460055,36.44761904761905,35.10277777777778,29.0125,28.373809523809523,1.2810416666666666,22.263333333333335,5.845238095238095,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Ankole,second_season_2020,64474.96625307064,36344.000043985616,48743.44195123275,1.3411688832335629,0.7560056993269281,7.958436674417017,11.57136772640079,8.669024528679175,0.4363083510376444,2020,2020.0,503.34004124179484,7.9,0.8,0.3,57.2,17.0,3.5,8.7841959363282,80.87566123008727,263.4,324.6,62.2,0.2,2020.0,1343.2685000000001,0.0,0.0,0.0,0.0,310.6848606109619,444.8346336364746,271.2373676300049,111.68549699783325,1138.4423588752747,0.6943823472467304,239.6933395385742,12.007702255249024,8.7,83.51945714950561,0.8827483995985753,-3.015725326538086,0.03590513226277618,55.38612518310547,0.9817632327328776,-0.48578801850042497,30.393043827460055,36.44761904761905,35.10277777777778,29.0125,28.373809523809523,1.2810416666666666,22.263333333333335,5.845238095238095,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Ankole,total_2020,118927.0062969698,84635.7610360873,83064.58769029126,0.9814360581560068,0.6984501693658431,7.705479199031716,9.058914284082867,8.307076213075886,0.2883385895988557,2020,2020.0,853.0422370066866,13.5,4.4,1.4,100.8,27.6,6.8,8.286924300112421,88.41481127738953,79.7,324.6,245.9,0.2,2020.0,2681.111,0.0,0.0,0.0,0.0,310.6848606109619,444.8346336364746,271.2373676300049,111.68549699783325,1138.4423588752747,0.6943823472467304,239.6933395385742,12.007702255249024,8.7,83.51945714950561,0.8827483995985753,-3.015725326538086,0.03590513226277618,55.38612518310547,0.9817632327328776,-0.48578801850042497,30.393043827460055,36.44761904761905,35.10277777777778,29.0125,28.373809523809523,1.2810416666666666,22.263333333333335,5.845238095238095,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Bukedi,first_season_2020,7898.659006215235,7494.607429006806,3879.071826384876,0.5175817230094645,0.4911051133277866,22.41427170874125,23.51968372065901,26.687005541874143,0.0511544525330809,2020,2020.0,809.6237435787916,7.333333333333333,0.6666666666666666,0.16666666666666666,77.66666666666667,30.0,6.666666666666667,10.415271057329736,88.75836904843648,65.0,158.83333333333334,94.83333333333333,0.0,2020.0,1534.1625000000001,6.666666666666667,0.0,13.666666666666666,0.6666666666666666,667.2053387959799,794.5850397745768,203.4081185658773,452.70716222127277,2117.9056593577066,0.560799035660458,393.3497365315755,49.560106913248696,11.0,745.7673250834147,5.829329549863792,168.30182266235352,2.438865671778767,402.9198913574219,5.631585246250869,0.8889265350005031,33.93278031056312,39.794444444444444,36.479166666666664,22.954166666666666,22.381666666666668,1.3314583333333334,19.816,5.95,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Bukedi,second_season_2020,6009.0445929110965,3145.2194282781857,2219.419355069724,0.7056484947012804,0.3693464611142985,21.266998609749425,25.94437994479266,24.86723903561505,0.4765857733875667,2020,2020.0,992.2721540729204,4.666666666666667,0.0,0.0,78.33333333333333,39.166666666666664,11.166666666666666,12.62093760744031,138.83227117856345,219.66666666666666,334.0,115.33333333333333,0.0,2020.0,1501.6674999999998,0.0,0.0,1.0,0.0,667.2053387959799,794.5850397745768,203.4081185658773,452.70716222127277,2117.9056593577066,0.560799035660458,393.3497365315755,49.560106913248696,11.0,745.7673250834147,5.829329549863792,168.30182266235352,2.438865671778767,402.9198913574219,5.631585246250869,0.8889265350005031,33.93278031056312,39.794444444444444,36.479166666666664,22.954166666666666,22.381666666666668,1.3314583333333334,19.816,5.95,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Bukedi,total_2020,13907.703599126333,10639.826857284992,6098.491181454599,0.5731757916040728,0.4384973506221185,19.037027503668604,21.969609606789945,24.077833480924337,0.2349688227499057,2020,2020.0,1801.8958976517122,7.333333333333333,0.6666666666666666,0.16666666666666666,156.0,69.16666666666667,17.833333333333332,11.152388814397248,138.83227117856345,65.0,334.0,270.0,0.0,2020.0,3035.83,6.666666666666667,0.0,14.666666666666666,0.6666666666666666,667.2053387959799,794.5850397745768,203.4081185658773,452.70716222127277,2117.9056593577066,0.560799035660458,393.3497365315755,49.560106913248696,11.0,745.7673250834147,5.829329549863792,168.30182266235352,2.438865671778767,402.9198913574219,5.631585246250869,0.8889265350005031,33.93278031056312,39.794444444444444,36.479166666666664,22.954166666666666,22.381666666666668,1.3314583333333334,19.816,5.95,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Bunyoro,first_season_2020,67785.82438098382,64451.66463069189,53243.17948462295,0.826094714383351,0.78546185682385,10.920167078695178,11.392450160066206,12.003582031674116,0.0491866814446718,2020,2020.0,495.56492937462673,8.285714285714286,0.8571428571428571,0.2857142857142857,61.285714285714285,17.142857142857142,2.142857142857143,8.112740533440107,60.977203028542654,71.28571428571429,150.28571428571428,80.0,0.0,2020.0,1656.5092857142859,18.428571428571427,0.0,42.0,2.2857142857142856,401.13837759835377,464.5933271135603,116.57960183279855,357.61904580252514,1339.9303523472377,0.475642250642621,186.5789315359933,29.1850095476423,9.571428571428571,110.54870523725238,1.1906279809710258,-7.240126473563058,-0.12392865953335115,47.28554316929409,0.886999619780174,1.4080781187891254,31.393408918217762,34.410000000000004,41.839999999999996,23.48333333333333,29.4475,1.2614583333333333,18.85,5.861666666666666,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
