sub_region,season_group,area_planted_ha,area_harvested_ha,production_mt,yield_over_harvested,yield_over_planted,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct,harvest_loss_ratio,year,daily_year,daily_season_total_mm,daily_longest_dry_spell_days,daily_dry_spell_count_7d,daily_dry_spell_count_10d,daily_rain_days_1mm,daily_rain_days_10mm,daily_rain_days_20mm,daily_mean_wet_day_rainfall,daily_maximum_5day_rainfall,daily_season_onset_day,daily_season_cessation_day,daily_season_length_days,daily_false_onset_flag,temp_year,temp_season_gdd,temp_heat_days,temp_extreme_heat_days,temp_warm_night_days,temp_heatwave_count,rain_MAM,rain_SON,rain_DJF,rain_JJA,rain_annual_rainfall,rain_rain_cv,rain_max_monthly,rain_min_monthly,rain_rainy_months,rain_rainfall_anomaly,rain_rainfall_zscore,rain_MAM_anomaly,rain_MAM_zscore,rain_SON_anomaly,rain_SON_zscore,soil_lat,soil_lon,soil_clay,soil_sand,soil_silt,soil_soc,soil_bdod,soil_cec,soil_phh2o,target_cv,target_reliability_weight,high_uncertainty_flag,yield_consistency_ok,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
Acholi,first_season_2020,41311.86339982357,33491.00876369796,19415.75629115963,0.579730411471064,0.4699801629195586,19.58088345501453,20.71998715096573,24.83473730660469,0.1893125604244472,2020,2020.0,572.7000713534653,9.625,1.0,0.5,70.125,17.875,1.875,8.171791002696578,57.323903918266296,66.375,91.5,26.125,0.0,2020.0,1725.021875,32.125,4.25,36.625,4.25,429.8889408111572,490.36515522003174,69.14666032791138,518.1679534912109,1507.5687098503113,0.5593996689194904,228.08902740478516,16.66800856590271,9.0,185.7858531475067,1.6576316046658746,46.66194772720337,0.7774568923056622,104.91718101501465,1.6678938868094362,2.948992569163029,32.58856664393185,35.916666666666664,39.8,24.279166666666665,23.097916666666666,1.290625,21.222916666666666,6.214583333333334,24.83473730660469,4.026617989367877,0,True,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Acholi,second_season_2020,21212.19136588105,14727.171704613364,11403.00442943078,0.774283389787513,0.5375684309435399,25.12317623417041,27.01519384363122,33.11498337346168,0.3057213443632504,2020,2020.0,689.2091083079576,7.25,0.75,0.0,73.75,24.375,4.625,9.378765549747122,71.7936801314354,215.25,326.25,112.0,0.0,2020.0,1576.105,1.25,0.0,3.5,0.0,429.8889408111572,490.36515522003174,69.14666032791138,518.1679534912109,1507.5687098503113,0.5593996689194904,228.08902740478516,16.66800856590271,9.0,185.7858531475067,1.6576316046658746,46.66194772720337,0.7774568923056622,104.91718101501465,1.6678938868094362,2.948992569163029,32.58856664393185,35.916666666666664,39.8,24.279166666666665,23.097916666666666,1.290625,21.222916666666666,6.214583333333334,33.11498337346168,3.019781072278596,1,True,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Acholi,total_2020,62524.05476570462,48218.18046831132,30818.76072059041,0.6391522952809118,0.4929104619986188,14.083909204656258,15.415261636337291,19.25885331951384,0.2288059267909201,2020,2020.0,1261.909179661423,9.75,1.75,0.5,143.875,42.25,6.5,8.578404892374339,71.7936801314354,66.375,326.25,260.875,0.0,2020.0,3301.126875,33.375,4.25,40.125,4.25,429.8889408111572,490.36515522003174,69.14666032791138,518.1679534912109,1507.5687098503113,0.5593996689194904,228.08902740478516,16.66800856590271,9.0,185.7858531475067,1.6576316046658746,46.66194772720337,0.7774568923056622,104.91718101501465,1.6678938868094362,2.948992569163029,32.58856664393185,35.916666666666664,39.8,24.279166666666665,23.097916666666666,1.290625,21.222916666666666,6.214583333333334,19.25885331951384,5.192417136210078,0,True,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Ankole,first_season_2020,13519.71785013503,13224.414029447358,6469.507084787104,0.4892093570559104,0.4785238239807267,15.052386327660932,15.241080323814913,16.96439242537923,0.0218424544033455,2020,2020.0,349.7021957648918,13.5,3.6,1.1,43.6,10.6,3.3,8.008444253579558,73.6520622253418,79.7,170.1,91.4,0.0,2020.0,1337.8425,0.0,0.0,0.0,0.0,310.6848606109619,444.8346336364746,271.2373676300049,111.68549699783325,1138.4423588752747,0.6943823472467304,239.6933395385742,12.007702255249024,8.7,83.51945714950561,0.8827483995985753,-3.015725326538086,0.03590513226277618,55.38612518310547,0.9817632327328776,-0.48578801850042497,30.393043827460055,36.69166666666666,34.480000000000004,28.839999999999996,29.723333333333336,1.2521666666666667,22.166666666666664,5.866666666666666,16.96439242537923,5.894699762450499,0,True,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Ankole,second_season_2020,7750.623680207723,4021.440590668345,2236.502995825332,0.5561447310735069,0.2885578100684398,12.72968248344638,16.27230586950763,13.467900643040752,0.4811461946039719,2020,2020.0,503.34004124179484,7.9,0.8,0.3,57.2,17.0,3.5,8.7841959363282,80.87566123008727,263.4,324.6,62.2,0.2,2020.0,1343.2685000000001,0.0,0.0,0.0,0.0,310.6848606109619,444.8346336364746,271.2373676300049,111.68549699783325,1138.4423588752747,0.6943823472467304,239.6933395385742,12.007702255249024,8.7,83.51945714950561,0.8827483995985753,-3.015725326538086,0.03590513226277618,55.38612518310547,0.9817632327328776,-0.48578801850042497,30.393043827460055,36.69166666666666,34.480000000000004,28.839999999999996,29.723333333333336,1.2521666666666667,22.166666666666664,5.866666666666666,13.467900643040752,7.425062201633694,0,True,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Ankole,total_2020,21270.34153034276,17245.854620115704,8706.010080612436,0.5048175502104532,0.4093027875548242,12.1855936838348,13.361911898242282,14.17821019108223,0.1892065016674041,2020,2020.0,853.0422370066866,13.5,4.4,1.4,100.8,27.6,6.8,8.286924300112421,88.41481127738953,79.7,324.6,245.9,0.2,2020.0,2681.111,0.0,0.0,0.0,0.0,310.6848606109619,444.8346336364746,271.2373676300049,111.68549699783325,1138.4423588752747,0.6943823472467304,239.6933395385742,12.007702255249024,8.7,83.51945714950561,0.8827483995985753,-3.015725326538086,0.03590513226277618,55.38612518310547,0.9817632327328776,-0.48578801850042497,30.393043827460055,36.69166666666666,34.480000000000004,28.839999999999996,29.723333333333336,1.2521666666666667,22.166666666666664,5.866666666666666,14.17821019108223,7.053076421655655,0,True,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Bukedi,first_season_2020,19476.054131639823,18383.56111198294,8770.121708536559,0.4770632662036267,0.4503028000055236,15.421584841346656,15.606830571289972,15.58605499578506,0.0560941663168861,2020,2020.0,809.6237435787916,7.333333333333333,0.6666666666666666,0.16666666666666666,77.66666666666667,30.0,6.666666666666667,10.415271057329736,88.75836904843648,65.0,158.83333333333334,94.83333333333333,0.0,2020.0,1534.1625000000001,6.666666666666667,0.0,13.666666666666666,0.6666666666666666,667.2053387959799,794.5850397745768,203.4081185658773,452.70716222127277,2117.9056593577066,0.560799035660458,393.3497365315755,49.560106913248696,11.0,745.7673250834147,5.829329549863792,168.30182266235352,2.438865671778767,402.9198913574219,5.631585246250869,0.8889265350005031,33.93278031056312,39.98888888888889,37.0,23.030555555555555,22.21388888888889,1.3194444444444444,19.625,5.861111111111111,15.58605499578506,6.415991732804935,0,True,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Bukedi,second_season_2020,4614.401009321355,2347.0148967595123,1323.975373433528,0.5641103408681047,0.286922478293287,39.86418013686493,35.33050470358466,30.58922233786437,0.4913717095635148,2020,2020.0,992.2721540729204,4.666666666666667,0.0,0.0,78.33333333333333,39.166666666666664,11.166666666666666,12.62093760744031,138.83227117856345,219.66666666666666,334.0,115.33333333333333,0.0,2020.0,1501.6674999999998,0.0,0.0,1.0,0.0,667.2053387959799,794.5850397745768,203.4081185658773,452.70716222127277,2117.9056593577066,0.560799035660458,393.3497365315755,49.560106913248696,11.0,745.7673250834147,5.829329549863792,168.30182266235352,2.438865671778767,402.9198913574219,5.631585246250869,0.8889265350005031,33.93278031056312,39.98888888888889,37.0,23.030555555555555,22.21388888888889,1.3194444444444444,19.625,5.861111111111111,30.58922233786437,3.269125278684075,1,True,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Bukedi,total_2020,24090.455140961178,20730.576008742453,10094.097081970089,0.4869183122414556,0.4190081516893809,14.90683859345308,14.3980096403439,14.952826455671833,0.1394693090088571,2020,2020.0,1801.8958976517122,7.333333333333333,0.6666666666666666,0.16666666666666666,156.0,69.16666666666667,17.833333333333332,11.152388814397248,138.83227117856345,65.0,334.0,270.0,0.0,2020.0,3035.83,6.666666666666667,0.0,14.666666666666666,0.6666666666666666,667.2053387959799,794.5850397745768,203.4081185658773,452.70716222127277,2117.9056593577066,0.560799035660458,393.3497365315755,49.560106913248696,11.0,745.7673250834147,5.829329549863792,168.30182266235352,2.438865671778767,402.9198913574219,5.631585246250869,0.8889265350005031,33.93278031056312,39.98888888888889,37.0,23.030555555555555,22.21388888888889,1.3194444444444444,19.625,5.861111111111111,14.952826455671833,6.687698830482212,0,True,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
Bunyoro,first_season_2020,9376.64663776973,8518.16191839341,5664.8387902647655,0.6650306538588546,0.6041433583991993,27.87354797419384,24.961164251632304,25.279177494684173,0.091555622445906,2020,2020.0,495.56492937462673,8.285714285714286,0.8571428571428571,0.2857142857142857,61.285714285714285,17.142857142857142,2.142857142857143,8.112740533440107,60.977203028542654,71.28571428571429,150.28571428571428,80.0,0.0,2020.0,1656.5092857142859,18.428571428571427,0.0,42.0,2.2857142857142856,401.13837759835377,464.5933271135603,116.57960183279855,357.61904580252514,1339.9303523472377,0.475642250642621,186.5789315359933,29.1850095476423,9.571428571428571,110.54870523725238,1.1906279809710258,-7.240126473563058,-0.12392865953335115,47.28554316929409,0.886999619780174,1.4080781187891254,31.393408918217762,35.91904761904762,40.12142857142857,23.942857142857143,27.39047619047619,1.275952380952381,19.571428571428573,5.892857142857143,25.279177494684173,3.955824908505369,0,True,AAS2020_subregion,CHIRPS_v2.0_monthly+CHIRPS_v2.0_daily_climateserv,NASA_POWER_daily,,,subregion,False,False,A,"Yields from official AAS subregion estimates. Climate features from district centroids (CHIRPS monthly + CHIRPS daily via ClimateSERV + NASA POWER), aggregated to subregion by district mean."
