district,year,yield_tons_ha,MAM,SON,DJF,JJA,annual_rainfall,rain_cv,max_monthly,min_monthly,rainy_months,MAM_tmax,MAM_tmin,MAM_gdd,MAM_heat_stress,MAM_cold_stress,SON_tmax,SON_tmin,SON_gdd,SON_heat_stress,SON_cold_stress,DJF_tmax,DJF_tmin,DJF_gdd,DJF_heat_stress,DJF_cold_stress,JJA_tmax,JJA_tmin,JJA_gdd,JJA_heat_stress,JJA_cold_stress,annual_tmax,annual_tmin,annual_gdd,annual_heat_stress,annual_cold_stress,elevation_m,lat,lon,phh2o,soc,clay,sand,silt,bdod,cec,source_status,n_households,total_area_ha,total_production_kg,fertilizer_kg_ha,planting_density,ndvi_peak,evi_peak,soil_moisture_index,planting_date,solar_radiation
Arua,2015,0.8268633089222214,342.7566654006856,589.8562754339425,122.84420227910849,413.305377481989,1468.7625205957258,0.4557266214042391,290.24539857798766,28.3700977907217,8,29.268633563637167,18.946144901328974,1298.2489884446195,0,0,27.73545498779571,17.605755621771742,1152.9254453614035,0,0,30.37738000692068,18.687088802026377,1302.2300985339782,0,0,25.926722558674477,16.565442428648513,1033.7166167675043,0,0,28.327047779257004,17.951107938443904,4787.1211491075055,0,0,1200,3.02,30.911,,,,,,,,request_failed,,,,,,,,,,
Arua,2016,1.6395312522879106,331.34650857327944,536.3777386684526,73.08286925601438,395.2531393007199,1336.0602557984662,0.5027429151026086,215.93788908035427,16.932326621320247,9,28.52574194266916,18.27997927362856,1233.9162768691074,0,0,27.061333549910163,17.100796179179532,1098.415762283831,0,0,29.38473108288157,17.862392776164448,1238.0064350867756,0,0,26.89831013481876,16.55825786949433,1079.464861494477,0,0,27.96752917756991,17.45035652461672,4649.803335734191,0,0,1200,3.02,30.911,,,,,,,,request_failed,,,,,,,,,,
Arua,2017,1.1695853948939394,305.6042542645205,402.3178935598593,34.96922871140725,417.3383008254176,1160.2296773612047,0.5288278944736143,204.1536244029781,6.16584580867416,10,29.39140694404284,18.263557732294384,1272.762867840352,0,0,29.207492030392277,17.48833570599787,1213.7683732998726,0,0,31.15488600763512,17.837377981549253,1299.4397030368898,0,0,27.246454389429005,17.13732741778512,1122.2789985794418,0,0,29.250059842874816,17.681649709406656,4908.249942756556,0,0,1200,3.02,30.911,,,,,,,,request_failed,,,,,,,,,,
Arua,2018,1.2002071467730129,279.6909300870811,400.1695734547331,51.31607115970302,374.2468790088528,1105.42345371037,0.4973544660509765,205.90546675261015,5.374879825243973,10,29.21571961383892,18.769883773384706,1286.8237500779792,0,0,28.25850151852771,17.147481395983515,1155.4009145675902,0,0,30.749482654208247,18.15046753735288,1299.6500095217882,0,0,27.89888173514172,18.26107651460216,1202.9296094664835,0,0,29.030646380429147,18.08222730533081,4944.804283633841,0,0,1200,3.02,30.911,,,,,,,,request_failed,,,,,,,,,,
Arua,2019,1.1776710900673937,276.5799634525828,568.5104679025442,49.34933539324028,408.7509949877932,1303.1907617361603,0.5836620236159107,245.0618314736766,1.5839589877145608,11,27.45312811663311,17.276025098571086,1137.77821254565,0,0,26.20463717649592,16.979919763857723,1055.6322314703102,0,0,27.55531657897004,17.2286556948955,1112.8986529389165,0,0,27.236841196044512,15.812089231511225,1060.8973317765983,0,0,27.11248076703589,16.824172447208884,4367.206428731475,0,0,1200,3.02,30.911,,,,,,,,request_failed,,,,,,,,,,
Arua,2020,1.453824261273316,348.72762074311044,585.18980345515,56.662734292715896,338.201099712558,1328.7812582035344,0.5636413600801504,308.06891006424866,6.753080740471184,9,28.31950214446829,20.783061104134237,1339.0767581293464,0,0,28.460088925052546,18.63436453972309,1234.0885939471266,0,0,31.567892803434905,19.82810159715272,1426.7630092325137,0,0,28.881226430466764,18.67043680786225,1268.148446809006,0,0,29.30717757585563,19.478991012218074,5268.076808117992,0,0,1200,3.02,30.911,,,,,,,,request_failed,,,,,,,,0.2374427989125251,,
Arua,2021,1.4860930209251968,255.4552764987744,560.8868194327597,73.67167856944931,386.032187885518,1276.0459623865013,0.5590522593482258,292.6769354931972,17.433610707387974,10,28.74174516936965,18.433657394848293,1250.6961020137758,0,0,28.36401754694221,16.7963928619292,1143.908803341409,0,0,30.66032122101401,18.49697379729344,1309.2508559819062,0,0,27.389985886440325,18.18173823635877,1175.7151661875707,0,0,28.789017455941547,17.977190572607423,4879.570927524662,0,0,1200,3.02,30.911,,,,,,,,request_failed,,,,,,,,0.223724041134119,,
Arua,2022,1.3243821113055314,356.5203982117728,540.7032357337532,51.23645690482845,494.1855596278945,1442.6456504782489,0.5297290056886476,266.7969754414636,6.487492940706572,9,28.66073596475117,19.10818505020182,1278.1550137620095,0,0,28.413455216118948,17.426181168216278,1176.2679282785666,0,0,30.5650234877718,20.005324247867595,1371.0511540344462,0,0,27.25171107644788,17.417987484889064,1134.1607227408372,0,0,28.72273143627245,18.48941948779369,4959.63481881586,0,0,1200,3.02,30.911,,,,,,,,request_failed,,,,,,,,0.2292116172611713,,
Arua,2023,1.7300123335226711,429.98802399535145,566.3810040225779,112.88857034228492,455.2748606020651,1564.5324589622794,0.4311536166254502,270.2881069191865,20.62173975125622,10,30.33390942243786,19.153221043014582,1357.222473448923,0,0,27.275125058305907,18.1247482913516,1156.999265510743,0,0,30.28716524188537,18.36404655808821,1286.1181084687926,0,0,28.55919294426846,17.24153232305039,1186.1188199301655,0,0,29.11384816672441,18.220887053876197,4986.458667358625,0,0,1200,3.02,30.911,,,,,,,,request_failed,,,,,,,,0.2387807766596476,,
Fort Portal,2015,1.814905363110976,618.7492801121819,513.3674579243972,120.33612292697076,328.939144696893,1581.392005660443,0.4797204649146462,280.99963088426284,25.268478574525563,10,27.984068459663224,17.32075289900528,1165.0446539943869,0,0,26.33603325795575,15.88046871949238,1010.0962765395276,0,0,29.47837575263219,17.256772038229332,1202.010927564772,0,0,24.181435582644543,16.229210880273477,939.5995298307224,0,0,26.994978263223928,16.671801134250117,4316.751387929409,0,0,1500,0.671,30.275,,,,,,,,request_failed,,,,,,,,,,
