district,year,MAM_tmax,MAM_tmin,MAM_gdd,MAM_heat_stress,MAM_cold_stress,SON_tmax,SON_tmin,SON_gdd,SON_heat_stress,SON_cold_stress,DJF_tmax,DJF_tmin,DJF_gdd,DJF_heat_stress,DJF_cold_stress,JJA_tmax,JJA_tmin,JJA_gdd,JJA_heat_stress,JJA_cold_stress,annual_tmax,annual_tmin,annual_gdd,annual_heat_stress,annual_cold_stress,elevation_m
Arua,2015,29.268633563637167,18.946144901328978,1298.2489884446195,0,0,27.73545498779571,17.605755621771742,1152.9254453614035,0,0,30.377380006920678,18.687088802026377,1302.2300985339782,0,0,25.926722558674474,16.565442428648513,1033.7166167675045,0,0,28.327047779257004,17.951107938443904,4787.1211491075055,0,0,1200
Arua,2016,28.525741942669157,18.279979273628562,1233.9162768691074,0,0,27.061333549910163,17.100796179179532,1098.4157622838313,0,0,29.38473108288157,17.862392776164448,1238.0064350867756,0,0,26.898310134818757,16.55825786949433,1079.464861494477,0,0,27.96752917756991,17.45035652461672,4649.803335734191,0,0,1200
Arua,2017,29.391406944042842,18.263557732294384,1272.7628678403519,0,0,29.207492030392274,17.48833570599787,1213.7683732998726,0,0,31.154886007635117,17.837377981549253,1299.4397030368898,0,0,27.246454389429005,17.13732741778512,1122.2789985794418,0,0,29.250059842874816,17.681649709406656,4908.249942756556,0,0,1200
Arua,2018,29.215719613838917,18.769883773384702,1286.8237500779792,0,0,28.25850151852771,17.147481395983515,1155.4009145675902,0,0,30.749482654208247,18.150467537352878,1299.6500095217882,0,0,27.898881735141718,18.261076514602156,1202.9296094664837,0,0,29.030646380429147,18.082227305330814,4944.804283633841,0,0,1200
Arua,2019,27.45312811663311,17.276025098571086,1137.7782125456501,0,0,26.204637176495922,16.979919763857723,1055.6322314703102,0,0,27.55531657897004,17.2286556948955,1112.8986529389163,0,0,27.236841196044512,15.812089231511223,1060.8973317765983,0,0,27.112480767035894,16.824172447208884,4367.206428731475,0,0,1200
Arua,2020,28.31950214446829,20.783061104134234,1339.0767581293464,0,0,28.460088925052542,18.634364539723094,1234.0885939471266,0,0,31.567892803434905,19.82810159715272,1426.7630092325135,0,0,28.881226430466764,18.67043680786225,1268.148446809006,0,0,29.30717757585563,19.478991012218074,5268.076808117992,0,0,1200
Arua,2021,28.741745169369654,18.433657394848293,1250.6961020137758,0,0,28.36401754694221,16.7963928619292,1143.908803341409,0,0,30.660321221014012,18.49697379729344,1309.2508559819062,0,0,27.389985886440325,18.181738236358772,1175.7151661875707,0,0,28.789017455941547,17.977190572607423,4879.570927524662,0,0,1200
Arua,2022,28.660735964751172,19.10818505020182,1278.1550137620097,0,0,28.413455216118948,17.426181168216278,1176.2679282785666,0,0,30.565023487771796,20.005324247867595,1371.0511540344462,0,0,27.25171107644788,17.417987484889064,1134.1607227408372,0,0,28.72273143627245,18.489419487793686,4959.63481881586,0,0,1200
Arua,2023,30.33390942243786,19.153221043014586,1357.222473448923,0,0,27.275125058305907,18.124748291351597,1156.999265510743,0,0,30.287165241885372,18.364046558088212,1286.1181084687926,0,0,28.55919294426846,17.24153232305039,1186.1188199301657,0,0,29.113848166724406,18.220887053876194,4986.458667358625,0,0,1200
Fort_Portal,2015,27.984068459663224,17.32075289900528,1165.0446539943869,0,0,26.33603325795575,15.880468719492379,1010.0962765395276,0,0,29.47837575263219,17.256772038229332,1202.010927564772,0,0,24.181435582644543,16.229210880273477,939.5995298307225,0,0,26.994978263223928,16.671801134250117,4316.751387929409,0,0,1500
Fort_Portal,2016,25.16599142733745,15.635892871783554,957.5551694577357,0,0,23.673661360604978,14.762757021373327,839.9988121030531,0,0,28.02157297084472,15.248385363202189,1057.9411489352447,0,0,22.875444746851496,13.420818107355098,750.4002075711555,0,0,24.93416762640966,14.766963340928541,3605.895338067189,0,0,1500
Fort_Portal,2017,28.669299880770385,15.910425238134517,1130.9669303869716,0,0,26.75330808163766,15.574346786956276,1015.5854586829812,0,0,28.96054472911184,16.634382235378304,1150.325971214625,0,0,25.380225040581706,15.243888363412333,948.4212707243465,0,0,27.4408444330254,15.840760655970358,4245.299631008925,0,0,1500
Fort_Portal,2018,25.381918995615205,16.255831015839426,995.9387013924197,0,0,25.464177598500232,14.25445120267824,897.1759907360142,0,0,28.45809224172332,15.62692886781548,1081.4510889134883,0,0,25.35344915607264,15.324420033741452,950.8973225216084,0,0,26.164409497977854,15.365407780018652,3925.4631035635307,0,0,1500
