feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
MAM,-0.041782339178424346,0.43578560643903586,0.1260777294972642,-0.020973578921472495,-0.21899065093204373,0.10967144143669376,-0.47737932715996023,-0.38464398409139766,0.22071528085183634,-0.06663277438833233,-0.228037396037162,-0.2381218801365207,0.10362404551343393,-0.07468622573255383,0.012535559558028306,0.08251159759708435,0.18398596675264575,0.04153307146318891,-0.05153201180731985,-0.3303249489225613
SON,-0.096319370130633,0.2771911655344452,0.4414172969681045,-0.11528098089067393,-0.032917741164223115,0.03644250163128908,0.2346480990418225,0.17247182797570082,-0.12051479951888497,0.06476500341674102,0.036443966241883716,0.0954157787025467,-0.525157650621148,0.16392359376980314,0.13454533244053657,-0.13093895234154126,0.05125521145073047,-0.05910779082203572,0.26212115491141535,-0.27618227719223465
DJF,0.08663299875803383,0.34918777813041574,-0.29979127800213007,-0.24191647448092368,-0.034145440353233865,-0.21687950015831745,0.2656376705358933,-0.12802884622377453,-0.28585235930861636,0.3450732149531961,0.020945882386777536,0.006472353294753284,-0.07315715980593707,-0.0006163978252655272,-0.06726976412931455,-0.12826635018469837,-0.009848874482946277,0.3302425240627747,-0.30334447046251645,-0.22245658145257752
JJA,0.053624670054653156,0.326851864236308,-0.170597103974108,0.4241844366880839,0.13429913993575987,0.020425722280202355,-0.25614356401367566,0.5310539899341602,0.034890644653591284,-0.04795153782327049,-0.0039219675349713564,0.2070597355104915,0.07967277993424442,0.1043016147099729,-0.21302618248076946,-0.0707435131093288,-0.30087626954500973,-0.09351613227607268,-0.05698193522121409,-0.27013270729812805
annual_rainfall,-0.02327431591075474,0.5128812467017989,0.12473646599822474,0.036500919297656205,-0.07454845701491498,0.02554368387994364,-0.14730498327283914,0.05924486301462121,-0.002564230280130128,0.05695882705359912,-0.08499246075842326,0.007582532861177742,-0.17070223893575553,0.07440684967305146,-0.02538758513751253,-0.07289820560808105,-0.0019404603347017652,0.03274428678873891,0.004389546401171384,0.7204069665294278
rain_cv,-0.11792367654037438,-0.21670201883917736,0.46791064810219474,0.019622148326813787,-0.032428104163233336,0.24212333266538888,-0.009861041960115224,-0.07815009846106499,0.11014379871586122,-0.21462274537882572,-0.11123783720517923,0.3215338634789389,-0.13857156195260895,-0.16604401472910854,-0.08980868406319695,-0.19728550108699733,-0.15842721846498226,0.2570549030739552,-0.3080169362606943,-0.07350586809222442
max_monthly,-0.0618411874295429,0.2244302779804369,0.5048117076291417,-0.16823401756829368,0.048517497942797846,-0.09374764259114728,0.23730766417170493,0.10881809245690352,-0.03483072504410271,0.1489696549398324,0.1428071685160907,0.05410265283732498,0.6792740249412125,-0.08704450222013206,-0.11896129876994965,0.2018866603010049,-0.10035402733806856,-0.03340408900606174,0.019340327102618807,0.004095190735581176
min_monthly,0.05800814077012937,0.3427197927156826,-0.2706268942739685,0.05733596048971377,0.22400922638986062,0.43038857050358564,0.48572500402235536,-0.21376750373976167,0.2805830999457811,-0.3558744960868891,0.12227566025931232,0.14636697077529467,0.08042617864145031,-0.12909339367647946,0.07667747819904602,-0.05066746499617199,0.020917531018815452,0.01950231921936342,0.05793438598830748,0.014343205620609938
rainy_months,-0.041660007867041535,0.018418237838765016,0.20725345693861666,0.49497776502483654,0.5979012907509402,-0.2573597572427157,0.06176587814479412,-0.2711131530722681,0.028292441694670194,0.09712523016930544,-0.017771654601180714,-0.08412720587695714,-0.09048408711806485,0.21217634613300385,0.12939996208126042,0.23756514956269228,0.16922216215489616,0.11031492846261902,-0.06458699526032066,-0.03201108866006124
MAM_tmax,0.21748829797982433,-0.017381101049101646,-0.0074352910623146605,0.017336286321744904,-0.22236063656518076,-0.16448566397180675,0.03807529351032303,-0.024953617702999257,0.5597786224384955,0.3338468550493733,0.11376201574462258,0.3495410970908703,-0.10825882548618733,0.021930135001483195,0.14650634120597253,0.18210089283918046,-0.018810715620383438,-0.09496182359595098,-0.1443764041072997,0.005582495789192851
