district,year,MAM,SON,DJF,JJA,annual_rainfall,rain_cv,max_monthly,min_monthly,rainy_months,MAM_tmax,MAM_tmin,MAM_gdd,MAM_heat_stress,MAM_cold_stress,SON_tmax,SON_tmin,SON_gdd,SON_heat_stress,SON_cold_stress,DJF_tmax,DJF_tmin,DJF_gdd,DJF_heat_stress,DJF_cold_stress,JJA_tmax,JJA_tmin,JJA_gdd,JJA_heat_stress,JJA_cold_stress,annual_tmax,annual_tmin,annual_gdd,annual_heat_stress,annual_cold_stress,elevation_m,yield_tons_ha
Mbale,2015,501.6975201548878,632.2405033683964,133.44025926272195,360.3250925639217,1627.7033753499281,0.45431994250754953,311.4375125452146,30.13610728799062,8,27.736179577122346,18.081321440291987,1188.0958992150956,0,0,27.336301043719676,16.340947979096274,1077.0827744901098,0,0,27.736217032414757,17.60947745778933,1139.026028065997,0,0,27.83932506415535,17.437775374912164,1162.5114075963227,0,0,27.662005679353033,17.367380563022436,4566.716109367525,0,0,1300,2.7757343839091724
Mbale,2016,495.16033369803176,580.0614253683865,84.00379093099788,340.64853092580245,1499.8740809232186,0.5030951474518298,237.77973243032122,18.752480233817497,9,29.76941486401589,16.49612700132255,1209.3857519223084,0,0,27.659147781446176,16.691102434120616,1106.7559505190768,0,0,29.580655891053013,17.231890566855657,1218.2341210898273,0,0,26.396476813013248,16.335067352853898,1045.9854906601554,0,0,28.351423837382082,16.68854683878818,4580.361314191368,0,0,1300,2.8064774912952046
Mbale,2017,437.3732940985009,437.4563041822541,43.75383136700594,373.4152875474241,1291.9987171951848,0.5056539679308069,214.2126260813963,7.629946251273942,10,27.309292738316586,18.29579020486454,1178.6627651111971,0,0,28.933070293605237,16.718647932900392,1167.0901171928995,0,0,29.024701549092015,17.76698618294435,1204.0213572555772,0,0,26.014107634786342,16.68966880407474,1043.34856478942,0,0,27.820293053950042,17.36777328119601,4593.122804349094,0,0,1300,2.5243229961592943
Mbale,2018,404.0454627352389,433.3307821609085,59.60637333624688,332.79536812613355,1229.7779863585279,0.4803688228312755,222.48607110569787,6.756596854667951,10,25.85860235569145,16.649653044491675,1035.672177751341,0,0,24.639181372550354,16.20000175756842,948.1639182441903,0,0,28.644568182892566,16.074942769484522,1108.3103400026544,0,0,26.31613334150781,14.44618263960531,955.0941754619001,0,0,26.364621313160544,15.842695052787482,4047.240611460086,0,0,1300,2.4980758828211123
Mbale,2019,426.33701340729993,608.4456812238021,59.333138723554754,358.8319783362208,1452.9478116908776,0.5445246506361707,265.02943813430556,3.247926209433639,11,28.177029061710797,17.293019210377768,1172.6919353679652,0,0,28.18195432757514,17.015073647863584,1145.7252527721243,0,0,29.669821849602247,18.146351519764725,1248.616344506432,0,0,26.309920352137052,16.671411647139294,1058.0572210702437,0,0,28.084681397756313,17.281464006286342,4625.090753716765,0,0,1300,2.6487367082837325
Mbale,2020,502.2711229887547,626.1347373873218,66.89896777575885,287.01993229734325,1482.3247604491787,0.5753730688753069,328.54137703033456,8.459119654311676,9,29.26345468454096,19.27521465775297,1313.4341848952504,0,0,27.42319485663761,18.42191580463171,1176.4873619293,0,0,30.071195057415295,19.5064963315108,1343.859292136443,0,0,27.044979786673668,18.00835233878759,1152.909584146816,0,0,28.45070609631689,18.802994783170764,4986.69042310781,0,0,1300,2.4351890374990557
Mbale,2021,411.6404057110067,602.5361872226883,84.08402051693147,333.97047814810725,1432.2310915987339,0.5192789042773037,313.50161938816154,19.169001031968335,10,27.26664161855531,16.761688860697497,1106.976459398363,0,0,26.187754949226477,15.737491994497068,997.455795549193,0,0,27.894481156214425,16.362186176232587,1087.9722366672354,0,0,25.006396484840906,14.463911828755082,894.774847615652,0,0,26.58881855220928,15.83131971504556,4087.1793392304435,0,0,1300,2.715421968302116
Mbale,2022,523.2834403558643,585.1733803055109,62.35399304776789,438.5978789131973,1609.4086926223406,0.5047235944312367,289.0320477273424,8.340415631196478,9,28.677967914929933,17.32111073385244,1196.7636882573188,0,0,26.89565030915719,15.773353259337725,1031.500489973395,0,0,28.645320312561807,17.19179897865945,1160.6412460487659,0,0,27.100703025576536,16.057726422227038,1066.563822712088,0,0,27.829910390556364,16.58599734851916,4455.469246991567,0,0,1300,2.599436684307111
Mbale,2023,594.613488798447,610.2811279700701,123.86360132915794,400.3997056676999,1729.157923765375,0.45415105818862356,292.23816889293255,22.450911582401726,10,26.11096780323381,17.316388341246505,1078.442908563743,0,0,27.075780642255875,14.703570809386372,989.5125968587645,0,0,28.566070897044927,16.51309888513566,1124.7119392762258,0,0,24.742792208111695,15.196288244995841,916.1198758466303,0,0,26.623902887661576,15.932336570191096,4108.787320545363,0,0,1300,2.925310514415306
Kapchorwa,2015,760.8970066692917,596.2869650827114,102.56765710733201,400.013007975448,1859.7646368347832,0.5272465806475568,352.07349416281784,22.30706760458577,10,25.399148907693085,14.25884622516427,904.5995951102889,0,0,24.514610397927285,13.063959835160171,799.2863932709314,0,0,26.56423379464435,14.235997182145999,932.921550055624,0,0,23.8663193595969,12.897315636607667,771.9910328115895,0,0,25.086078114965407,13.614029719769526,3408.7985712484337,0,0,1800,2.81647373655601
